period_year,period_month,bill_date,distributor_code,stockist_code,stockist_name,hq_code,hq_name,mr_emp_id,mr_name,raw_product_code,raw_product_name,brand,canonical_product_code,quantity,amount
2025,10,2025-10-23,11.0,C0787,SHIVAM DRUG AGENCY,S0037,BIHARSHARIF,ADLA81,,I0111,,ARDEN MF SUSPENSION,I0111,200.0,9900.0
2025,10,2025-10-23,11.0,C0787,SHIVAM DRUG AGENCY,S0037,BIHARSHARIF,ADLA81,,I0023,,LORAMYL,I0023,500.0,8350.0
2025,10,2025-10-31,11.0,C1072,SHAKUNTALA DRUG AGENCY,S0350,MADHUBANI,ADLA83,,I0156,,AMINOGLOBIN-XT,I0156,50.0,9482.0
2025,10,2025-10-31,11.0,C1071,ADITYA DRUG AGENCY,S0334,MUZAFFARPUR,ADLA71,,I0111,,ARDEN MF SUSPENSION,I0111,100.0,4950.0
2025,10,2025-10-31,11.0,C0913,BAIJNATH MEDICALS,S0012,ARRAH,ADLA70,,I0111,,ARDEN MF SUSPENSION,I0111,100.0,4950.0
2025,10,2025-10-31,11.0,C1071,ADITYA DRUG AGENCY,S0334,MUZAFFARPUR,ADLA71,,I0272,,MV 30 SYRUP,I0272,100.0,9274.0
2025,4,2025-04-28,11.0,C0787,SHIVAM DRUG AGENCY,S0037,BIHARSHARIF,ADLA81,,I0111,,ARDEN MF SUSPENSION,I0111,114.0,5643.0
2025,4,2025-04-28,11.0,C0787,SHIVAM DRUG AGENCY,S0037,BIHARSHARIF,ADLA81,,I0111,,ARDEN MF SUSPENSION,I0111,86.0,4257.0
2025,10,2025-10-31,11.0,C1050,ARADHYA MEDICALS ENTERPRISES,S0012,ARRAH,ADLA70,,I0272,,MV 30 SYRUP,I0272,100.0,9274.0
2025,10,2025-10-31,11.0,C1050,ARADHYA MEDICALS ENTERPRISES,S0012,ARRAH,ADLA70,,I0044,,SERVIL LS- BABY DROPS,I0044,148.0,7422.2
2025,10,2025-10-31,11.0,C1072,SHAKUNTALA DRUG AGENCY,S0350,MADHUBANI,ADLA83,,I0272,,MV 30 SYRUP,I0272,100.0,9274.0
2025,4,2025-04-30,11.0,C1050,ARADHYA MEDICALS ENTERPRISES,S0012,ARRAH,ADLA70,,I0272,,MV 30 SYRUP,I0272,100.0,8481.0
2025,4,2025-04-30,11.0,C1050,ARADHYA MEDICALS ENTERPRISES,S0012,ARRAH,ADLA70,,I0274,,MV 30 TAB,I0274,100.0,6041.0
2025,4,2025-04-30,11.0,C1050,ARADHYA MEDICALS ENTERPRISES,S0012,ARRAH,ADLA70,,I0023,,LORAMYL,I0023,2310.0,37930.2
2025,4,2025-04-30,11.0,C1050,ARADHYA MEDICALS ENTERPRISES,S0012,ARRAH,ADLA70,,I0111,,ARDEN MF SUSPENSION,I0111,100.0,4518.0
2025,4,2025-04-30,11.0,C1050,ARADHYA MEDICALS ENTERPRISES,S0012,ARRAH,ADLA70,,I0074,,HEPAHEAL SYRUP,I0074,39.0,4387.5
2025,4,2025-04-30,11.0,C1050,ARADHYA MEDICALS ENTERPRISES,S0012,ARRAH,ADLA70,,I0074,,HEPAHEAL SYRUP,I0074,11.0,1237.5
2025,4,2025-04-30,11.0,C1050,ARADHYA MEDICALS ENTERPRISES,S0012,ARRAH,ADLA70,,I0156,,AMINOGLOBIN-XT,I0156,42.0,7560.0
2025,4,2025-04-30,11.0,C1050,ARADHYA MEDICALS ENTERPRISES,S0012,ARRAH,ADLA70,,I0156,,AMINOGLOBIN-XT,I0156,8.0,1440.0
2025,5,2025-05-06,11.0,C0357,MANOJ MEDICAL AGENCY,S0012,ARRAH,ADLA70,,I0023,,LORAMYL,I0023,1561.0,25631.62
2025,5,2025-05-08,11.0,C0914,SHREE RAM PHARMA,S0012,ARRAH,ADLA70,,I0023,,LORAMYL,I0023,100.0,1642.0
2025,5,2025-05-08,11.0,C0914,SHREE RAM PHARMA,S0012,ARRAH,ADLA70,,I0023,,LORAMYL,I0023,400.0,6568.0
2025,5,2025-05-19,11.0,C0787,SHIVAM DRUG AGENCY,S0037,BIHARSHARIF,ADLA81,,I0111,,ARDEN MF SUSPENSION,I0111,200.0,9900.0
2025,4,2025-04-02,11.0,C0357,MANOJ MEDICAL AGENCY,S0012,ARRAH,ADLA70,,I0037,,SERVIL JUNIOR,I0037,216.0,13608.0
2025,4,2025-04-02,11.0,C0357,MANOJ MEDICAL AGENCY,S0012,ARRAH,ADLA70,,I0037,,SERVIL JUNIOR,I0037,264.0,16463.04
2025,4,2025-04-02,11.0,C0357,MANOJ MEDICAL AGENCY,S0012,ARRAH,ADLA70,,I0044,,SERVIL LS- BABY DROPS,I0044,40.0,1842.8
2025,4,2025-04-02,11.0,C0357,MANOJ MEDICAL AGENCY,S0012,ARRAH,ADLA70,,I0111,,ARDEN MF SUSPENSION,I0111,20.0,903.6
2025,4,2025-04-02,11.0,C0357,MANOJ MEDICAL AGENCY,S0012,ARRAH,ADLA70,,I0009,,ARDEN 500,I0009,100.0,972.0
2025,4,2025-04-02,11.0,C0357,MANOJ MEDICAL AGENCY,S0012,ARRAH,ADLA70,,I0005,,ARDEN 325,I0005,88.0,2319.68
2025,5,2025-05-28,11.0,C0357,MANOJ MEDICAL AGENCY,S0012,ARRAH,ADLA70,,I0036,,CONIDERM-MX,I0036,25.0,1395.0
2025,5,2025-05-28,11.0,C0357,MANOJ MEDICAL AGENCY,S0012,ARRAH,ADLA70,,I0037,,SERVIL JUNIOR,I0037,80.0,5040.0
2025,5,2025-05-28,11.0,C0357,MANOJ MEDICAL AGENCY,S0012,ARRAH,ADLA70,,I0003,,ARDEN 250,I0003,110.0,2577.3
2025,5,2025-05-28,11.0,C0357,MANOJ MEDICAL AGENCY,S0012,ARRAH,ADLA70,,I0003,,ARDEN 250,I0003,22.0,515.46
2025,5,2025-05-28,11.0,C0357,MANOJ MEDICAL AGENCY,S0012,ARRAH,ADLA70,,I0006,,ARDEN JUNIOR,I0006,132.0,2364.12
2025,10,2025-10-31,11.0,C1072,SHAKUNTALA DRUG AGENCY,S0350,MADHUBANI,ADLA83,,I0021,,CONIDERM-F,I0021,18.0,1689.48
2025,10,2025-10-31,11.0,C1071,ADITYA DRUG AGENCY,S0334,MUZAFFARPUR,ADLA71,,I0021,,CONIDERM-F,I0021,9.0,844.74
2025,10,2025-10-31,11.0,C1071,ADITYA DRUG AGENCY,S0334,MUZAFFARPUR,ADLA71,,I0044,,SERVIL LS- BABY DROPS,I0044,18.0,902.7
2025,10,2025-10-31,11.0,C0913,BAIJNATH MEDICALS,S0012,ARRAH,ADLA70,,I0021,,CONIDERM-F,I0021,500.0,46930.0
